kelurahanid,subdistrictname,kelurahanname,recordstatus
7980,LAMPASIO,LAMPASIO,1
7981,LAMPASIO,LAMPASIO,1
7982,OGODEIDE,OGODEIDE,1
7983,OGODEIDE,OGODEIDE,1
7984,TOLITOLI UTARA,TOLITOLI UTARA,1
7985,KABAENA BARAT,KABAENA BARAT,1
7986,KABAENA TIMUR,KABAENA TIMUR,1
7987,POLEANG,POLEANG,1
7988,POLEANG TIMUR,POLEANG TIMUR,1
7989,RAROWATU,RAROWATU,1
7990,BATAUGA,BATAUGA,1
7991,BATUATAS,BATUATAS,1
7992,GU,GU,1
7993,KADATUA,KADATUA,1
7994,KAPONTORI,KAPONTORI,1
7995,LAKUDO,LAKUDO,1
7996,LASALIMU,LASALIMU,1
7997,LASALIMU SELATAN,LASALIMU SELATAN,1
7998,MAWASANGKA,MAWASANGKA,1
7999,MAWASANGKA TIMUR,MAWASANGKA TIMUR,1
8000,PASAR WAJO,PASAR WAJO,1
8001,SAMPOLAWA,SAMPOLAWA,1
8002,SIOMPU,SIOMPU,1
8003,TALAGA RAYA,TALAGA RAYA,1
8004,WANGI-WANGI SELATAN,WANGI-WANGI SELATAN,1
8005,BAULA,BAULA,1
8006,KODEOHA,KODEOHA,1
8007,KODEOHA,KODEOHA,1
8008,KOLAKA,KOLAKA,1
8009,LADONGI,LADONGI,1
8010,LAMBANDIA,LAMBANDIA,1
8011,LASUSUA,LASUSUA,1
8012,LASUSUA,LASUSUA,1
8013,LATAMBAGA,LATAMBAGA,1
8014,MOWEWE,MOWEWE,1
8015,NGAPA,NGAPA,1
8016,NGAPA,NGAPA,1
8017,PAKUE,PAKUE,1
8018,PAKUE,PAKUE,1
8019,POMALAA,POMALAA,1
8020,RANTE ANGIN,RANTE ANGIN,1
8021,RANTE ANGIN,RANTE ANGIN,1
8022,SAMATURU,SAMATURU,1
8023,TANGGETADA,TANGGETADA,1
8024,TIRAWUTA,TIRAWUTA,1
8025,ULUIWOI,ULUIWOI,1
8026,WATUBANGGA,WATUBANGGA,1
8027,WOLO,WOLO,1
8028,WUNDULAKO,WUNDULAKO,1
8029,ABUKI,ABUKI,1
8030,ASERA,ASERA,1
8031,BONDOALA,BONDOALA,1
8032,LAMBUYA,LAMBUYA,1
8033,LASOLO,LASOLO,1
8034,LATOMA,LATOMA,1
8035,PONDIDAHA,PONDIDAHA,1
8036,SAMPARA,SAMPARA,1
8037,SAWAH,SAWAH,1
8038,SOROPIA,SOROPIA,1
8039,TONGAUNA,TONGAUNA,1
8040,UEPAI,UEPAI,1
8041,UNAAHA,UNAAHA,1
8042,WAWONII,WAWONII,1
8043,WAWORETE,WAWORETE,1
8044,WAWOTOBI,WAWOTOBI,1
8045,WIWIRANO,WIWIRANO,1
8046,WONGGEDUKU,WONGGEDUKU,1
8047,B O N E,B O N E,1
8048,BATA LAIWORU,BATA LAIWORU,1
8049,BONEGUNU,BONEGUNU,1
8050,DURUKA,DURUKA,1
8051,KABANGKA,KABANGKA,1
8052,KABAWO,KABAWO,1
8053,KAMBOWA,KAMBOWA,1
8054,KATOBU,KATOBU,1
8055,KONTUNAGA,KONTUNAGA,1
8056,KULISUSU,KULISUSU,1
8057,KULISUSU BARAT,KULISUSU BARAT,1
8058,KULISUSU UTARA,KULISUSU UTARA,1
8059,KUSAMBI,KUSAMBI,1
8060,LASALEPA,LASALEPA,1
8061,LAWA,LAWA,1
8062,LOHIYA,LOHIYA,1
8063,MAGINTI,MAGINTI,1
8064,MALIGANO,MALIGANO,1
8065,NAPABALANO,NAPABALANO,1
8066,PASIR PUTIH,PASIR PUTIH,1
8067,SAWERIGADI,SAWERIGADI,1
8068,TIWORO KEPULAUAN,TIWORO KEPULAUAN,1
8069,TIWORO TENGAH,TIWORO TENGAH,1
8070,TONGKUNO,TONGKUNO,1
8071,WAKORUMBA SELATAN,WAKORUMBA SELATAN,1
8072,WAKORUMBA UTARA,WAKORUMBA UTARA,1
8073,WATOPUTE,WATOPUTE,1
8074,ANDOOLO,ANDOOLO,1
8075,ANGATA,ANGATA,1
8076,KOLONO,KOLONO,1
8077,KONDA,KONDA,1
8078,LAINEA,LAINEA,1
8079,LANDONO,LANDONO,1
8080,LAONTI,LAONTI,1
8081,MORAMO,MORAMO,1
8082,PALANGGA,PALANGGA,1
8083,RANOMEETO,RANOMEETO,1
8084,TINANGGEA,TINANGGEA,1
8085,BETOAMBARI,BETOAMBARI,1
8086,BUNGI,BUNGI,1
8087,SORAWOLIO,SORAWOLIO,1
8088,W O L I O,W O L I O,1
8089,ABELI,ABELI,1
8090,BARUGA,BARUGA,1
8091,KENDARI,KENDARI,1
8092,KENDARI,KENDARI,1
8093,KENDARI BARAT,KENDARI BARAT,1
8094,MANDONGA,MANDONGA,1
